name,price,style,switches,backlit,tenkeyless,connection_type,color
Mad Catz S.T.R.I.K.E. TE,,Gaming,Kailh Brown,White,false,Wired,Black
Razer Deathstalker Essential,,Gaming,,,false,Wired,Black
ROCCAT RYOS TKL PRO,,Gaming,Cherry MX Brown,Blue,true,Wired,Beige / Gray
Rosewill Apollo RK-9100xBBL,,Gaming,Cherry MX Black,Blue,false,Wired,Black
Rosewill Apollo RK-9100xRBL,,Gaming,Cherry MX Black,Red,false,Wired,Black
Rosewill RK-8300,,Gaming,,,false,Wired,Black
Rosewill RK-9000V2 BR,,Standard,Cherry MX Brown,,false,Wired,Black
Thermaltake CHALLENGER Illuminated,,Gaming,,Red,false,Wired,Black
Corsair K70 RGB,,Gaming,Cherry MX Brown,RGB,false,Wired,Black
Kensington KP400,69.98,Slim,,,false,Wired,Black
Buslink KR-6421-BK Keyboard,,Slim,,,false,Wired,Black
KUL ES-87,,Standard,Cherry MX Black,,true,Wired,Black
KUL ES-87 Smoke,,Standard,Cherry MX Blue,,true,Wired,Gray
KUL ES-87,,Standard,Cherry MX Red,,true,Wired,Black
UtechSmart Saturn,,Gaming,,Multicolor,false,Wired,Black
KeyTronic MK320,,Standard,,,false,Wireless,Black
KeyTronic MK520,,Standard,,,false,Wireless,Black
Adesso EasyTouch135,,Gaming,,Multicolor,false,Wired,Black
Cooler Master MECH,,Gaming,Cherry MX Blue,White,false,Wired,Black / Silver
Cooler Master MECH,,Gaming,Cherry MX Brown,White,false,Wired,Black / Silver
Cooler Master MECH,,Gaming,Cherry MX Red,White,false,Wired,Black / Silver
Ducky Mini,,Mini,Cherry MX Black,Red / Blue,true,Wired,Black / Silver
Ducky Mini,,Mini,Cherry MX Black,Red / Blue,true,Wired,Black / Gray
Ducky Mini,,Mini,Cherry MX Brown,Red / Blue,true,Wired,Black / Silver
Ducky Mini,,Mini,Cherry MX Brown,Red / Blue,true,Wired,Black / Gray
Ducky Mini,,Mini,Cherry MX Blue,Red / Blue,true,Wired,Black / Gray
AZIO KB506W,,Gaming,,Blue,false,Wireless,Black
Das Keyboard 4C Professional,,Standard,Greetech Blue,,true,Wired,Black
Das Keyboard 4C Professional,,Standard,Greetech Brown,,true,Wired,Black
Das Keyboard 4C Ultimate,,Standard,Greetech Blue,,true,Wired,Black
Das Keyboard 4C Ultimate,,Standard,Greetech Brown,,true,Wired,Black
Gear Head KB5500M,,Gaming,Kailh Red,,true,Wired,Black
KeyTronic K120P,,Standard,,,false,Wired,Black
KeyTronic K120U,,Standard,,,false,Wired,Black
RCA TPH510,,Standard,,,false,Wired,Black
Rosewill RK-9000V2 BL,,Standard,Cherry MX Black,,false,Wired,Black
Rosewill RK-9000V2 RE,,Standard,Cherry MX Red,,false,Wired,Black
Turtle Beach IMPACT 500,,Standard,Cherry MX Blue,,true,Wired,Black
Cherry JD-0400EU-2,,Standard,,,false,Wireless,Black
Cherry JD-0700EU-2,,Standard,,,false,Wireless,Black
Cougar 700K,,Gaming,Cherry MX Blue,Red,false,Wired,Black / Silver
Kensington K64370A,,Standard,,,false,Wired,Black
Lenovo Preferred Pro USB Fingerprint Keyboard -US English,,Standard,,,false,Wired,Black
Monoprice K11,,Gaming,,,false,Wired,Black
Monoprice 11795,,Slim,,Blue,false,Wired,Black
Monoprice 6821,,Slim,,,false,Wired,Black / White
Monoprice 9180,,Standard,Cherry MX Black,,false,Wired,Black
Monoprice 9181,,Standard,Cherry MX Red,Red,false,Wired,Black
Monoprice K3 Chocolate Style,,Standard,,,false,Wired,Black
Monoprice 9433,,Standard,Cherry MX Blue,,false,Wired,Black
Adesso SlimTouch 510,25.97,Standard,,,false,Wired,Black
Adesso SlimTouch 510R,,Standard,,,false,Wired,Black
Cherry G80-3930 MX 6.0,,Gaming,Cherry MX Red,Red / Blue,false,Wired,Black / Silver
Cougar 600K,,Gaming,Cherry MX Blue,Orange,false,Wired,Black / Silver
Kensington K64406US,,Standard,,,false,Wired,White
Kensington Pro Fit Wired Media Keyboard,,Standard,,,false,Wired,Black
Microsoft Wired Desktop 400 UK,,Standard,,,false,Wired,Black
Nixeus MODA,,Gaming,Kailh Brown,,true,Wired,Black
AZIO HUE,,Slim,,,false,Wireless,Blue / White
AZIO HUE,,Slim,,,false,Wireless,Green / White
Genius 31330185100,,Standard,,,false,Wired,Black
IOGEAR Kaliber Gaming IKON,,Standard,,Multicolor,false,Wired,Black
IOGEAR Quietus Desktop,,Standard,,,false,Wired,Black
IOGEAR Tacturus RF Desktop,,Slim,,,false,Wireless,Black
Panasonic Ikey Keyboard,,Mini,,,false,Wired,Black
SMK-Link BLU-LINK,,Slim,,,true,Bluetooth Wireless,Black / Silver
SolidTek KB-6600,,Standard,,,false,Wired,Black
IOGEAR Quietus RF Desktop,,Standard,,,false,Wireless,Black
Cougar 600K,,Gaming,Cherry MX Red,Orange,false,Wired,Black
Cougar 600K,,Gaming,Cherry MX Brown,Orange,false,Wired,Black
Microsoft GU5-00001,,Slim,,,true,Bluetooth Wireless,Black
IOGEAR GE1337PKIT,,Gaming,,,false,Wireless,Black
TekNmotion TM-NIBK11,,Gaming,,,false,Wired,Black
G.Skill Ripjaws KM780 MX,,Gaming,Cherry MX Brown,Red,false,Wired,Black
Adesso EasyTouch 130,,Standard,,Blue,false,Wired,Black
AZIO MGK1 RGB,,Standard,Kailh Blue,RGB,false,Wired,Black
Corsair K70,,Gaming,Cherry MX Brown,Red,false,Wired,Black
Corsair K70,,Gaming,Cherry MX Red,Blue,false,Wired,Black
Corsair K70 RGB,,Gaming,Cherry MX Red,RGB,false,Wired,Black
Corsair K30,,Gaming,,Red,false,Wired,Black
Genius Scorpion K5,,Gaming,,RGB,false,Wired,Black / Gray
HEC HGX300,,Gaming,,,false,Wired,Black
Microsoft Desktop 3050,,Standard,,,false,Wireless,Black
Microsoft Desktop 850,,Standard,,,false,Wireless,Black
SMK-Link VP3800,,Standard,,,false,Wired,Black
SolidTek KB-3910BL,,Standard,,,true,Wired,Black
Thermaltake POSEIDON Z RGB,,Gaming,Kailh Blue,RGB,false,Wired,Black
Feenix Autore,,Standard,Cherry MX Brown,,false,Wired,Black
Feenix Autore,,Standard,Cherry MX Brown,,false,Wired,Black
Gigabyte AORUS THUNDER K3,,Gaming,Cherry MX Red,Blue,true,Wired,Black
Gigabyte AORUS Thunder K7,,Gaming,Cherry MX Red,Blue,false,Wired,Black
Corsair STRAFE RGB,,Gaming,Cherry MX Blue,RGB,false,Wired,Black
Corsair STRAFE,,Gaming,Cherry MX Blue,Red,false,Wired,Black
Adesso SlimTouch 270,,Mini,,,false,Wired,White
Cougar AttackX3-4IS (MX Brown),,Gaming,Cherry MX Brown,Red,false,Wired,Black / White
Genius Scorpion K20,,Gaming,,RGB,false,Wired,Black
IOGEAR GKB632B,42.99,Mini,,,true,Bluetooth Wireless,Black
Logitech K380,,Mini,,,true,Bluetooth Wireless,Blue
Adesso ACK-730B,,Standard,,,false,Wired,Black
G.Skill RIPJAWS KM780 MX,,Gaming,Cherry MX Blue,Red,false,Wired,Black
HP QY776AA#ABC,,Standard,,,false,Wired,Black
Logitech K480,,Slim,,,false,Bluetooth Wireless,Black / Green
Logitech K810,,Mini,,White,true,Bluetooth Wireless,Black
Microsoft 2VJ-00003,,Standard,,,false,Wired,Black
Microsoft E6K-00002,,Standard,,,false,Wireless,Black
SteelSeries SteelSeries Apex 300 Keyboard,,Standard,,White,false,Wired,Black
TekNmotion Nibiru CK1,,Gaming,,Blue,false,Wired,Black
Max Keyboard Blackbird,,Gaming,Cherry MX Brown,Red,true,Wired,Black
G.Skill RIPJAWS KM780R RGB,,Gaming,Cherry MX Blue,RGB,false,Wired,Black
G.Skill RIPJAWS KM780R RGB,,Gaming,Cherry MX Brown,RGB,false,Wired,Black
G.Skill RIPJAWS KM780R RGB,,Gaming,Cherry MX Red,RGB,false,Wired,Black
G.Skill RIPJAWS KM780R,,Gaming,Cherry MX Blue,Red,false,Wired,Black
G.Skill RIPJAWS KM780R,,Gaming,Cherry MX Brown,Red,false,Wired,Black
G.Skill RIPJAWS KM780R,,Gaming,Cherry MX Red,Red,false,Wired,Black
KBParadise V60,,Mini,Cherry MX Blue,Red / Blue,true,Wired,Black
Cooler Master Devastator II,,Gaming,,Green,false,Wired,Black
Razer BlackWidow X Ultimate,,Gaming,Razer Green,Green,false,Wired,Black
Razer BlackWidow X Tournament Edition Chroma,,Gaming,Razer Green,RGB,true,Wired,Black
Genius G-ZEUS,,Gaming,,RGB,false,Wired,Black
Cooler Master MasterKeys Pro L,,Standard,Cherry MX Blue,RGB,false,Wired,Black
Cooler Master MasterKeys Pro L,,Standard,Cherry MX Red,RGB,false,Wired,Black
Cooler Master MasterKeys Pro S,,Standard,Cherry MX Blue,RGB,true,Wired,Black
Cooler Master MasterKeys Pro S,,Standard,Cherry MX Brown,RGB,true,Wired,Black
Cooler Master MasterKeys Pro S,,Standard,Cherry MX Red,RGB,true,Wired,Black
Das Keyboard Division Zero X40,,Gaming,Alpha-Zulu Linear,Red,false,Wired,Black / Gray
Das Keyboard Division Zero X40,,Gaming,Alpha-Zulu Tactile,Red,false,Wired,Black / Gray
Speedlink SL-6482-BK,,Gaming,,Red,false,Wired,Black
Logitech G11,,Standard,,Blue,false,Wired,Black / Silver
Tomoko MMC023,,Standard,Huano Blue,,true,Wired,Black
ROCCAT Ryos MK FX RGB,,Gaming,Cherry MX Brown,RGB,false,Wired,Black
AZIO MGK L80,,Gaming,Kailh Brown,RGB,false,Wired,Black
AZIO MGK L80,,Gaming,Kailh Brown,Red,false,Wired,Black
AZIO MGK L80,,Gaming,Kailh Blue,Blue,false,Wired,Black
AllSmartLife K108,,Gaming,Outemu Blue,RGB,false,Wired,Black
Penclic C2B,,Mini,,,true,Wired,Black / Blue
Penclic C2W,,Mini,,,true,Wired,White / Blue
Penclic K2B,,Mini,,,true,Wireless,Black / Red
Penclic MK1,,Standard,Kailh Brown,White,true,Wired,Black / White
Qisan Magicforce,,Mini,Gateron Brown,White,true,Wired,Black
Nixeus MK-BL15,,Gaming,Kailh Blue,,true,Wired,Black / Gray
Cooler Master MasterKeys Pro L,,Standard,Cherry MX Brown,White,false,Wired,Black
Cooler Master MasterKeys Pro L,,Standard,Cherry MX Red,White,false,Wired,Black
G.Skill Ripjaws KM570,,Gaming,Cherry MX Blue,Red,false,Wired,Black
G.Skill Ripjaws KM570,,Gaming,Cherry MX Brown,Red,false,Wired,Black
G.Skill Ripjaws KM570,,Gaming,Cherry MX Red,Red,false,Wired,Black
FNATIC Rush Pro Gaming,,Gaming,Cherry MX Red,Red,false,Wired,Black
FNATIC Rush Pro Gaming,,Gaming,Cherry MX Brown,Red,false,Wired,Black
FNATIC Rush Pro Gaming,,Gaming,Cherry MX Blue,Red,false,Wired,Black
Filco Ninja Majestouch-2 TKL,,Standard,Cherry MX Red,,true,Wired,Black
Filco Ninja Majestouch-2 TKL,,Standard,Cherry MX Brown,,true,Wired,Black
Filco Ninja Majestouch-2 TKL,,Standard,Cherry MX Blue,,true,Wired,Black
Filco Ninja Majestouch-2 TKL,,Standard,Cherry MX Blue,,true,Wired,Black
Filco Ninja Majestouch-2 TKL,,Standard,Cherry MX Brown,,true,Wired,Black
Filco Ninja Majestouch-2 TKL,,Standard,Cherry MX Red,,true,Wired,Black
Filco Ninja Majestouch-2 TKL,,Standard,Cherry MX Red,,true,Wired,Black
ROCCAT Skeltr,,Gaming,,RGB,false,Wired,Black
Corsair K95 RGB PLATINUM ND,,Gaming,Cherry MX Brown,RGB,false,Wired,Black
Corsair K95 RGB PLATINUM UK,,Gaming,Cherry MX Speed Silver,RGB,false,Wired,Black
Hcman Hcman H01,,Gaming,CK Blue,Multicolor,true,Wired,Black
Asus ROG Claymore Core,,Gaming,Cherry MX Brown,RGB,true,Wired,Black
NOX Krom Khalon,,Standard,,RGB,false,Wired,Black
NOX Krom Kombat,,Gaming,,Orange,false,Wired,Black
NOX Krom Kratos,,Standard,Kailh Blue,Orange,false,Wired,Black
NOX Krom Kratos,,Gaming,Kailh Red,Orange,false,Wired,Black
NOX Krom Kratos RGB,,Gaming,Kailh Red,RGB,false,Wired,Black
NOX Krom Kratos TKL,,Gaming,Kailh Brown,Orange,true,Wired,Black
NOX Krom Kratos TKL,,Gaming,Kailh Red,Orange,true,Wired,Black
G.Skill Ripjaws KM570 RGB,,Gaming,Cherry MX Brown,RGB,false,Wired,Black
G.Skill Ripjaws KM570 RGB,,Gaming,Cherry MX Red,RGB,false,Wired,Black
G.Skill Ripjaws KM570 RGB,,Gaming,Cherry MX Speed Silver,RGB,false,Wired,Black
G.Skill Ripjaws KM570,,Gaming,Cherry MX Speed Silver,Red,false,Wired,Black
Creative Labs Vanguard K08,,Gaming,PRES,RGB,false,Wired,Black
Plugable MECH104BW,,Standard,Outemu Blue,White,false,Wired,Black
RIOTORO Ghostwriter Black Prism,,Standard,Cherry MX Black,RGB,false,Wired,Black / Red
ROCCAT SOVA,,Gaming,,Blue,true,Wired,Black
AZIO Armato,,Gaming,Cherry MX Brown,Red,false,Wired,Black
Microsoft EKZ-00001,,Slim,,,false,Wireless,Gray
Thermaltake Poseidon Z Plus,99.99,Standard,Kailh Blue,Blue,false,Wired,Black
Genius LuxeMate 100,,Mini,,,false,Wired,Black
IOGEAR GKB710L,,Standard,Kailh Blue,Blue,false,Wired,Black
Zalman ZM-K700M,,Standard,Cherry MX Red,White,false,Wired,Black
Zalman ZM-K600S,,Standard,,,false,Wired,Black
Zalman ZM-K300M,,Gaming,,,false,Wired,Black
Qisan CCDY003COOT7,,Mini,Cherry MX Blue,Blue,true,Wired,Silver
Qisan CCDY003COOT6,,Mini,Cherry MX Brown,White,true,Wired,Silver
Corsair K70 LUX RGB,,Gaming,Cherry MX Silent,RGB,false,Wired,Black
Logitech MK550,,Ergonomic,,,false,Wireless,Black
Cooler Master MasterSet MS120 (US),,Gaming,,RGB,true,Wired,Black
Cooler Master MasterSet MS120 (FR),,Gaming,,RGB,false,Wired,Black
Cooler Master MasterSet MS120 (DE),,Gaming,,RGB,false,Wired,Black
Cooler Master MasterSet MS120 (IT),,Gaming,,RGB,false,Wired,Black
Cooler Master MasterSet MS120 (ES),,Gaming,,RGB,false,Wired,Black
Cooler Master MasterKeys S (MX Red),,Gaming,Cherry MX Red,,true,Wired,Black
Cooler Master MasterKeys S (MX Blue),,Gaming,Cherry MX Blue,,true,Wired,Black
Cooler Master MasterKeys S (MX Green),,Gaming,Cherry MX Green,,true,Wired,Black
Cooler Master MasterKeys S (MX Speed Silver),,Gaming,Cherry MX Speed Silver,,true,Wired,Black
Cooler Master MasterKeys L (MX Brown),,Gaming,Cherry MX Brown,,false,Wired,Black
Cooler Master MasterKeys L (MX Red),,Gaming,Cherry MX Red,,false,Wired,Black
Cooler Master MasterKeys L (MX Green),,Gaming,Cherry MX Green,,false,Wired,Black
Cooler Master MasterKeys L (MX Speed Silver),,Gaming,Cherry MX Speed Silver,,false,Wired,Black
GALAX HOF Black Edition (MX Brown),,Gaming,Cherry MX Brown,White,false,Wired,Black
GALAX HOF Black Edition (MX Blue),,Gaming,Cherry MX Blue,White,false,Wired,Black
Cougar 450K,,Gaming,,Multicolor,false,Wired,Black
Cougar ATTACK X3 (MX Red),,Gaming,Cherry MX Red,RGB,false,Wired,Black / White
Cougar ATTACK X3 (MX Blue),,Gaming,Cherry MX Blue,RGB,false,Wired,Black / White
Cooler Master MasterKeys Pro S White (MX Blue),,Standard,Cherry MX Blue,White,true,Wired,Black
Cooler Master MasterKeys Pro S White (MX Red),,Standard,Cherry MX Red,White,true,Wired,Black
Cooler Master MasterKeys Pro S White (MX Speed Silver),,Standard,Cherry MX Speed Silver,White,true,Wired,Black
Cooler Master MasterKeys Pro M White (MX Blue),,Standard,Cherry MX Blue,White,false,Wired,
Cooler Master MasterKeys Pro L GeForce GTX Edition,,Standard,Cherry MX Red,Green,false,Wired,Black
Ducky Shine 6,,Standard,Cherry MX Brown,RGB,false,Wired,Gold / White
HP HyperX Alloy Elite RGB,,Gaming,Cherry MX Brown,RGB,false,Wired,Black
EagleTec KG010-N,,Standard,Outemu Blue,,false,Wired,Black
Trust GXT 280,,Gaming,,Red,false,Wired,Black
Tesoro Gram Spectrum (Black w/Red Switches),,Gaming,Tesoro Agile Red,RGB,false,Wired,Black
Tesoro Gram Spectrum (White w/Blue Switches),,Gaming,Tesoro Agile Blue,RGB,false,Wired,White
Tesoro Gram Spectrum (White w/Red Switches),,Gaming,Tesoro Agile Red,RGB,false,Wired,White
Logitech G513 Silver,,Gaming,Romer-G Tactile,RGB,false,Wired,Silver / Black
Ducky Rainbow One White,,Standard,Cherry MX Black,,true,Wired,White
Ducky Rainbow One White,,Standard,Cherry MX Brown,,true,Wired,White
Ducky Rainbow One White,,Standard,Cherry MX Blue,,true,Wired,White
Ducky Rainbow One White,,Standard,Cherry MX Red,,true,Wired,White
Ducky Rainbow One White,,Standard,Cherry MX Clear,,true,Wired,White
Ducky Rainbow One White,,Standard,Cherry MX White,,true,Wired,White
Ducky Rainbow One White,,Standard,Cherry MX Green,,true,Wired,White
Ducky One Rainbow White,,Standard,Cherry MX Black,,false,Wired,White
Ducky One Rainbow White,,Standard,Cherry MX Brown,,false,Wired,White
Ducky One Rainbow White,,Standard,Cherry MX Blue,,false,Wired,White
Ducky One Rainbow White,,Standard,Cherry MX Red,,false,Wired,White
Ducky One Rainbow White,,Standard,Cherry MX Clear,,false,Wired,White
Ducky One Rainbow White,,Standard,Cherry MX Speed Silver,,false,Wired,White
Velocifire K61WS,,Mini,Outemu Brown,,true,Wireless,Black
Cooler Master MasterKeys Pro M RGB,,Gaming,Cherry MX Blue,,false,Wired,Black
Cooler Master MasterKeys Pro M RGB,,Gaming,Cherry MX Brown,RGB,false,Wired,Black
Cooler Master MasterKeys Pro M RGB,,Gaming,Cherry MX Red,RGB,false,Wired,Black
Cooler Master MasterKeys Pro M RGB,,Gaming,Cherry MX Speed Silver,RGB,false,Wired,Black
Ducky One,,Gaming,Cherry MX Brown,RGB,true,Wired,Black
SteelSeries Apex M750 UK,,Gaming,SteelSeries QX2 Red,RGB,false,Wired,Black
Ducky ONE 2 Skyline PBT Gaming Tastatur,,Gaming,Cherry MX Brown,,true,Wired,Black / Blue
Logitech K360,,Slim,,,false,Wireless,Black
Tecware Phantom RGB,,Gaming,Outemu Blue,RGB,false,Wired,Black
Tecware Phantom RGB TKL,,Gaming,Outemu Blue,RGB,true,Wired,Black
Ducky One 2 Mini,,Standard,Cherry MX Black,RGB,true,Wired,White / Black
Ducky One 2 RGB TKL,,Standard,Cherry MX Silent,RGB,true,Wired,Black
Ducky One 2 RGB TKL,,Standard,Cherry MX Speed Silver,RGB,true,Wired,Black
Ducky One 2 RGB,,Standard,Cherry MX Speed Silver,RGB,false,Wired,Black
Ducky One 2 RGB,,Standard,Cherry MX White,RGB,false,Wired,Black
Rosewill NEON K75 RGB BR,162.49,Gaming,Kailh Brown,RGB,false,Wired,Black
Velocifire TKL78,,Standard,Outemu Brown,Blue,true,Wired,Black
Velocifire TKL02WS,,Standard,Outemu Brown,White,true,Wireless,Black
Rottay TH-419B,,Gaming,Outemu Brown,Multicolor,false,Wired,Black
Tesoro Excalibur Spectrum,,Gaming,Kailh Brown,RGB,false,Wired,Black
Cooler Master CK530,,Gaming,Gateron Brown,RGB,true,Wired,Black
Cooler Master CK530,,Gaming,Gateron Blue,RGB,true,Wired,Black
Cooler Master MK730,,Gaming,Cherry MX Brown,RGB,true,Wired,Black
Ducky ONE2 SKYLINE,,Gaming,Cherry MX Brown,,false,Wired,Black
G.Skill RIPJAWS KM780 RGB,,Gaming,Cherry MX Blue,RGB,false,Wired,Black
Cooler Master MK850 (UK),,Gaming,Cherry MX Red,RGB,false,Wired,Black
EVGA Z10 (Kailh Blue),,Gaming,Kailh Blue,Red,false,Wired,Black
EVGA Z10 (Kailh Brown),,Gaming,Kailh Brown,Red,false,Wired,Black
Corsair K83,,Standard,,White,true,Wireless,Gray
Ducky One 2 (MX Black),,Gaming,Cherry MX Black,Blue,false,Wired,Black
Ducky One 2 (MX Blue),,Gaming,Cherry MX Blue,Blue,false,Wired,Black
Ducky One 2 (MX Red),,Gaming,Cherry MX Red,Blue,false,Wired,Black
Velocifire VM30,,Gaming,Kailh Black,Multicolor,false,Wired,Black / Silver
Velocifire VM01WS,,Standard,Outemu Brown,,false,Wireless,Black
Drevo Tyrfing V2,,Gaming,Outemu Blue,RGB,false,Wired,Black
Drevo Tyrfing V2,,Gaming,Outemu Brown,RGB,false,Wired,Black
Logitech K375s,,Standard,,,false,Bluetooth Wireless,Black
Drevo BladeMaster PRO,,Gaming,Cherry MX Silent Red,RGB,true,Wireless,Gray
Drevo BladeMaster PRO,,Gaming,Cherry MX Silent Red,RGB,true,Wireless,Gray
Drevo BladeMaster PRO,,Gaming,Cherry MX Black,RGB,true,Wireless,Gray
Drevo BladeMaster PRO,,Gaming,Cherry MX Blue,RGB,true,Wireless,Gray
Drevo BladeMaster PRO,,Gaming,Cherry MX Speed Silver,RGB,true,Wireless,Gray
Drevo BladeMaster PRO,,Gaming,Cherry MX Blue,RGB,true,Wireless,Gray
Drevo BladeMaster PRO,,Gaming,Cherry MX Brown,RGB,true,Wireless,Gray
Drevo BladeMaster PRO,,Gaming,Cherry MX Speed Silver,RGB,true,Wireless,Gray
GameMax Click,,Gaming,,Multicolor,false,Wired,Black
Adesso AKB-133CB,35.15,Standard,,,false,Wired,Black
Adesso AKB-150CB,,Ergonomic,,,false,Wired,Black
Adesso AKB-450UBw,54.99,Ergonomic,,,false,Wired,Black
Adesso AKB-636UB,,Standard,Kailh Blue,,false,Wired,Black
Adesso WKB-1000BB,,Mini,,,true,Bluetooth Wireless,Black
Adesso WKB-1150CB,59.01,Ergonomic,,,true,Wireless,Black
Adesso WKB-1200CB,,Standard,,,false,Wireless,Black
Adesso WKB-1600CB,49,Ergonomic,,,false,Wireless,Black
Adesso WKB-3150UB,63.99,Ergonomic,,,true,Wireless,Black
Adesso WKB-4040UB,60,Mini,,,true,Wireless,Black
Adesso AKB-630CB,,Standard,,,false,Wired,Black
Adesso AKB-136CB,,Gaming,,RGB,false,Wired,Black
Adesso WKB-4500UB,79.99,Ergonomic,,,false,Wireless,Black
Adesso AKB-425UB,49.99,Standard,,,false,Wired,Black
Adesso AKB-150SB,,Ergonomic,,,false,Wired,Black
Acco Kensington 64406,,Standard,,,false,Wired,White
Acco Kensington K72357USA,,Slim,,,false,Wired,Black
iKBC CD108,,Gaming,Cherry MX Red,,false,Wired,Black
iKBC CD108,,Gaming,Cherry MX Clear,,false,Wired,Black
EVGA Z10 RGB,,Gaming,Kailh Blue,RGB,false,Wired,Black
EVGA Z10 RGB,,Gaming,Kailh Brown,RGB,false,Wired,Black
Kensington Pro Fit,,Standard,,,false,Wireless,Black
Fellowes 9893601,78.88,Slim,,,false,Wireless,Black
Evoluent EKB,49.95,Slim,,,true,Wired,Black
IOGEAR Kaliber Gaming MECHLITE,,Standard,Kailh Brown,Blue,false,Wired,Black
IOGEAR Kaliber Gaming MECHLITE,,Standard,Kailh Red,Blue,false,Wired,Black
IOGEAR Kaliber Gaming HVER PRO RGB,,Gaming,Kailh Brown,Multicolor,false,Wired,Black
IOGEAR GKM562R,,Slim,,,true,Wireless,Black
Buslink I-Rocks IRK77RP-BK,,Standard,,,false,Wireless,Black
Kensington K75231US,31.99,Standard,,,false,Wireless,Black
Mionix Zibal 60,,Standard,Cherry MX Black,,false,Wired,Black
Microsoft 800,,Slim,,,false,Wireless,Black
Evoluent R3K Reduced Reach Right-Hand Keyboard,54.95,Ergonomic,,,false,Wired,Black
HP Collaboration,,Slim,,,false,Wired,Black
Genius SlimStar 8008,,Slim,,,false,Wireless,Black
HP Slim,59.99,Slim,,,false,Wireless,Black
Inland 70140,,Slim,,,false,Wired,Black
HP Link-5,,Slim,,,false,Wireless,Black
Cougar Aurora,,Gaming,,RGB,false,Wired,Black
Cougar Aurora S,,Gaming,,RGB,false,Wired,Black
Verbatim 98111,26.78,Standard,,,false,Wired,Black
Targus AKB30US,22.95,Standard,,,false,Wired,Black
Targus KB55,,Slim,,,true,Bluetooth Wireless,Black
Targus BUS0399,,Slim,,,true,Wireless,Black
V7 CKU200MX Spanish,,Standard,,,false,Wired,Black
V7 CKU200US,,Standard,,,false,Wired,Black
SIIG JK-WR0H12-S1,,Slim,,,true,Wireless,Black
SMK-Link VP3827,,Ergonomic,,,false,Wired,Black
SMK-Link VP6620,,Slim,,,false,Wireless,Silver / Black
Verbatim VER99789,,Standard,,White,false,Wired,Black
SIIG JK-US0M12-S1,,Standard,,Multicolor,false,Wired,Silver / Black
Rosewill RKM-1000,,Slim,,,false,Wireless,Black
Verbatim 98121,19.64,Standard,,,false,Wired,Black
SIIG JK-US0N12-S1,,Mini,,,true,Wired,Black
SIIG JK-WR0S12-S1,,Slim,,,true,Wireless,Black
Lenovo Legion K200,,Gaming,,Multicolor,false,Wired,Black / Silver
Kodak TRUFORM 1150,,Ergonomic,,,true,Wireless,Black
Kodak TRUFORM 1500,,Ergonomic,,,true,Wireless,Black
Kodak TRUFORM 3500,,Ergonomic,,,false,Wireless,Black
Kodak TRUFORM 4500,,Ergonomic,,,false,Wireless,Black
SteelSeries Apex M750 TKL PUBG Edition,,Gaming,SteelSeries QX2 Red,RGB,true,Wired,Gray
ROCCAT Horde,,Gaming,,Blue,false,Wired,Black
Rosewill NEON K75 V2,,Gaming,Kailh Blue,RGB,false,Wired,Black
Rosewill NEON K75 V2 BR,,Gaming,Kailh Brown,RGB,false,Wired,Black
SolidTek ACK-540ALU,65,Standard,,,false,Wired,Black
SteelSeries Apex 7 TKL,,Gaming,SteelSeries QX2 Brown,RGB,true,Wired,Black
Rosewill K10,,Slim,,,false,Bluetooth Wireless,Silver / Black
Rosewill K10 S,,Slim,,,false,Bluetooth Wireless,Silver / White
IOGEAR KeyMander KORE,,Gaming,,RGB,true,Wired,Black
FNATIC miniSTREAK RGB,,Gaming,Cherry MX Blue,RGB,true,Wired,Black
Cooler Master CK550,,Gaming,Gateron Blue,RGB,false,Wired,Black
Logitech MK520,,Standard,,,false,Wireless,Black
V7 CKW200MX,,Standard,,,false,Wireless,Black
V7 KU300US,,Standard,,,false,Wired,Black
Microsoft LXM-00001,,Ergonomic,,,false,Wired,Black
Microsoft QSZ-00001,105.74,Standard,,,false,Bluetooth Wireless,Black
DROP CTRL,,Gaming,Kailh Halo True,RGB,true,Wired,Silver / Black
DROP CTRL,,Gaming,Kailh BOX White,RGB,true,Wired,Silver / Black
EagleTec KG010-RGB,,Gaming,Outemu Blue,RGB,false,Wired,Black
EagleTec KG011-RGB,,Gaming,Outemu Blue,RGB,false,Wired,Silver / White
Rosewill RK-9300_BR,,Gaming,Cherry MX Brown,Blue,false,Wired,Black
Asus ROG Strix Scope,,Gaming,Cherry MX Blue,RGB,false,Wired,Black
Gigabyte XK700,,Gaming,TTC Red,RGB,false,Wired,Silver
Thermaltake Level 20 RGB Titanium,149.99,Gaming,Cherry MX Speed Silver,RGB,false,Wired,Silver / Black
Cougar ULTIMUS RGB,,Gaming,TTC Blue,RGB,false,Wired,Black
Tesoro GRAM SPECTRUM TKL,,Gaming,Tesoro Agile Red,RGB,true,Wired,Black
Tesoro GRAM SPECTRUM TKL,,Gaming,Tesoro Agile Red,RGB,true,Wired,White
Ducky Shine 7 Blackout RGB,,Gaming,Cherry MX Black,RGB,false,Wired,Black
Ducky Shine 7 Blackout RGB,,Gaming,Cherry MX Speed Silver,RGB,false,Wired,Black
MK Night Typist,,Standard,Cherry MX Brown,White,false,Wired,Black
MK Night Typist,,Standard,Cherry MX Silent Red,White,false,Wired,Black
MK Night Typist,,Standard,Kailh BOX White,White,false,Wired,Black
